label,text,clean_text,length
ham,I will come tomorrow di,i will come tomorrow di,23
ham,"sure, but make sure he knows we ain't smokin yet",sure but make sure he knows we aint smokin yet,48
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,seriously tell her those exact words right now,48
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,rgent this is the 2nd attempt to contact uu have won 1250 call 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary max7 50,146
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left  but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you  enjoy my cuck,281
ham,So when you gonna get rimac access ,so when you gonna get rimac access ,35
ham,Can... I'm free...,can im free,18
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,hey are you going to quit soon xuhui and i working till end of the month ,77
ham,Oh god..taken the teeth?is it paining,oh godtaken the teethis it paining,37
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",jane babes not goin 2 wrk feel ill after lst nite foned in already cover 4 me chuck,89
ham,There bold 2  &lt;#&gt; . Is that yours,there bold 2  ltgt  is that yours,39
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,there generally isnt one its an uncountable noun  u in the dictionary pieces of research,94
ham,"4 tacos + 1 rajas burrito, right?",4 tacos  1 rajas burrito right,33
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,your b4u voucher wc 2703 is marsms log onto wwwb4utelecom for discount credit to opt out reply stop customer care call 08717168528,137
ham,"Me not waking up until 4 in the afternoon, sup",me not waking up until 4 in the afternoon sup,46
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac,135
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,105
